Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT
21414;4018;Ratio-Handel GmbH & Co.KG     ;Roxeler Str. 416-420          ;48161;MÜNSTER

21414;48155;Ratio-Handel GmbH & Co.KG     ;Albersloher Weg 186           ;48155;MÜNSTER

21414;48156;Ratio-Handel GmbH & Co.KG     ;Am Hellweg 4                  ;31655;STADTHAGEN

21414;48157;Ratio-Handel GmbH & Co.KG     ;Albersloher Weg 194           ;48155;MÜNSTER

21424;1;Handelshof Hamburg GmbH&Co.KG ;Nartenstr. 31                 ;21079;HAMBURG

21424;2;Doppelt angelegt!!!!!!!       ;                              ;            ;

21477;1;Georg Jos. Kaes GmbH          ;Am Ring 15                    ;87665;MAUERSTETTEN

21477;3;V-Markt Georg Jos. Kaes GmbH  ;Josef-Landes-Str. 40          ;87600;KAUFBEUREN

21477;4;V-Markt Georg Jos. Kaes GmbH  ;Wiesenweg 15                  ;86956;SCHONGAU

21477;5;V-Markt Georg Jos. Kaes GmbH  ;Allgäuer Str. 19              ;87719;MINDELHEIM

21477;6;HWM Georg Jos. Kaes GmbH      ;Trettachstrasse 4             ;87719;MINDELHEIM

21477;7;V-Markt Georg Jos. Kaes GmbH  ;Joh.-Georg-Fendt-Str. 33      ;87616;MARKTOBERDORF

21477;8;V-Markt Georg Jos. Kaes GmbH  ;Kemptener Str. 107            ;87629;FÜSSEN

21477;9;V-Markt Georg Jos. Kaes GmbH  ;Geisenmoos 11                 ;86983;LECHBRUCK

21477;10;V-Markt Georg Jos. Kaes GmbH  ;Danziger Str. 1               ;86842;TÜRKHEIM

21477;11;                              ;Justus von Liebig Str. 1      ;86807;

21477;12;V-Markt Georg Jos. Kaes GmbH  ;Im Engelfeld 5                ;87509;IMMENSTADT

21477;13;HWM Georg Jos. Kaes GmbH      ;Sonthofener Str. 71           ;87509;IMMENSTADT

21477;14;V-Markt Georg Jos. Kaes GmbH  ;Ammergauer Str. 60            ;86971;PEITING

21477;15;V-Markt Georg Jos. Kaes GmbH  ;Hertinger Weg 2               ;87484;NESSELWANG

21477;16;V-Markt Georg Jos. Kaes GmbH  ;Weilerweg 1                   ;89335;ICHENHAUSEN

21477;17;V-Markt Georg Jos. Kaes GmbH  ;Max-von-Eyth-Str. 4           ;86899;LANDSBERG II

21477;18;V-Markt Georg Jos. Kaes GmbH  ;Bürgermeister-Raab-Str. 31    ;86470;THANNHAUSEN

21477;19;V-Markt Georg Jos. Kaes GmbH  ;Sudetenstraße 5               ;87600;NEUGABLONZ/KFB

21477;20;V-Markt Georg Jos. Kaes GmbH  ;Augsburger Str. 50            ;89312;GÜNZBURG

21477;21;V-Markt Georg Jos. Kaes GmbH  ;Gottlieb-Daimler-Str. 6       ;86830;SCHWABMÜNCHEN

21477;23;V-Markt Georg Jos. Kaes GmbH  ;Gutenbergstraße 4             ;86399;BOBINGEN

21477;24;V-Markt Georg Jos. Kaes GmbH  ;Saumweg 19                    ;89257;ILLERTISSEN

21477;25;V-Markt Georg Jos. Kaes GmbH  ;Herzog-Georg-Str. 1           ;89264;WEIßENHORN

21477;26;V-Markt Georg Jos. Kaes GmbH  ;Gottlieb-Daimler-Str. 15      ;86825;BAD WÖRISHOFEN

21477;27;V-Markt Georg Jos. Kaes GmbH  ;Werner-von-Braun-Str. 16      ;87700;MEMMINGEN

21477;31;V-Markt Georg Jos. Kaes GmbH  ;Meilinger Str. 42             ;87459;PFRONTEN

21477;34;V-Markt Georg Jos. Kaes GmbH  ;Grünzweigstraße 1             ;86438;KISSING

21477;46;HWM Georg Jos. Kaes GmbH      ;Sudetenstraße 5               ;87600;KAUFBEUREN

