Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT

21504;86753;REAL Duisburg 1 8675.3        ;Berliner Straße 90            ;47138;Duisburg 1

21504;86760;REAL Krefeld - Tönisvorst 3   ;Hohenhöfe 19                  ;47918;Krefeld - TÖNISVORST

21504;86777;REAL Mönchengladbach 3        ;Krefelderstrasse 643          ;41066;MÖNCHENGLADBACH 3

21504;86807;REAL Kamp-Lintfort 8680.7     ;Moerser Straße 221            ;47475;Kamp-Lintfort

21504;86838;REAL Dinslaken 8683.8         ;Thyssenstr. 70                ;46535;Dinslaken

21504;86845;REAL Bedburg 8684.5           ;Bahnhofstrasse 15             ;50181;Bedburg

21504;86852;REAL Emsdetten 86852          ;Katthagen 6-8                 ;48282;EMSDETTEN

21504;86913;Real,- SB-Warenhaus GmbH      ;Bösperder Weg 43              ;58708;MENDEN

21504;86937;Real,- SB-Warenhaus GmbH      ;Industriestr. 22              ;45739;OER-ERKENSCHWICK

21504;87019;REAL Euskirchen 8701.9        ;Narzissenweg 25               ;53881;Euskirchen

21504;87033;REAL Düren 1 8703.3           ;Heerweg 99                    ;52353;DÜREN 1

21504;87040;REAL Heinsberg 8704.0         ;Humboldstr.26                 ;52525;Heinsberg

21504;87057;REAL Krefeld 2 8705.7         ;Mevissenstr.60                ;47803;Krefeld 2

21504;87064;Real  Aachen 8706.4           ;Breslauer Str. 35             ;52068;AACHEN

21504;87071;REAL Neuss 8707.1             ;Bataverstr.93                 ;41462;Neuss

21504;87095;REAL Ratingen-Breitscheid     ;An der Hoffnung 125           ;40885;Ratingen-Breitscheid

21504;87101;REAL Mülheim/Ruhr 8710.1      ;Weseler Str.30-40             ;45478;MÜlheim/Ruhr

21504;87125;REAL Hamm 8712.5              ;Münsterstr.183                ;59073;Hamm

21504;87132;REAL Hamburg - Farmsen 2      ;Berner Heerweg 173-175        ;22159;Hamburg - Farmsen 2

21504;87149;REAL Braunschweig 1           ;Hamburger Str.250             ;38114;Braunschweig 1

21504;87156;REAL Düsseldorf-Heerdt        ;Schießstr.31                  ;40549;DÜsseldorf-Heerdt

21504;87163;REAL Hürth/Köln 8716.3        ;Theresienhöhe                 ;50354;HÜRTH/KÖLN

21504;87170;REAL Heiligenroth/Montabaur 87;Industriestr.11               ;56412;Heiligenroth/Montaba

21504;87187;REAL Bochum 8718.7            ;Riemker Str.13                ;44809;Bochum

21504;87194;REAL Mönchengladbach 4        ;Reyerhütte 1                  ;41065;MÖNCHENGLADBACH 4

21504;87200;REAL Osnabrück 8720.0         ;Carl-Fischer Str.1            ;49084;OSNABRÜCK

21504;87217;REAL Bielefeld 3 8721.7       ;Gütersloher Str.122           ;33649;Bielefeld 3

21504;87224;REAL Espelkamp 8722.4         ;General-Bishop Str.10         ;32339;Espelkamp

21504;87255;REAL Langenhagen 8725.5       ;Hans-Böckler-Str.60           ;30851;Langenhagen

21504;87262;REAL Kassel 2 8726.2          ;Frankfurter Str.225           ;34134;Kassel 2

21504;87279;REAL Henstedt-Ulzburg 8727.9  ;Gutenbergstr.7                ;24558;Henstedt-Ulzburg

21504;87293;REAL Hagen - Bathey 2         ;Kabeler Str.25                ;58099;Hagen - Bathey 2

21504;87316;REAL Coesfeld 8731.6          ;Dülmener Str.39               ;48653;Coesfeld

21504;87323;REAL Moers 2 8732.3           ;Hülsdonkerstr.86              ;47441;Moers 2

21504;87361;REAL Rhede 8736.1             ;Gronauer Str.21               ;46414;Rhede

21504;87378;REAL Rees 8737.8              ;Gruettweg 42-46               ;46459;Rees

21504;87385;REAL Remscheid 8738.5         ;Alleestr.74                   ;42853;Remscheid

21504;87392;REAL Brakel 8739.2            ;Warburger Str.38              ;33034;Brakel

21504;87415;REAL Koblenz 8741.5           ;Bubenheimer Berg              ;56070;Koblenz

21504;87422;REAL Duisburg 8742.2          ;Buscher Str.66                ;47269;Duisburg

21504;87453;REAL Gütersloh 8745.3         ;Am Anger 22                   ;33332;GÜTERSLOH

21504;87460;REAL Rheine 8746.0            ;Lingener Str.19               ;48429;Rheine

21504;87477;REAL Papenburg 8747.7         ;Deverweg 13                   ;26871;Papenburg

21504;87484;REAL Bad Breisig 8748.4       ;Glodene Meile                 ;53498;Bad Breisig

21504;87491;REAL Übach-Palenberg          ;Boschstr.4                    ;52531;Übach-Palenberg

21504;87507;REAL Grevenbroich 8750.7      ;Am Rittergut 1                ;41515;Grevenbroich

21504;87514;REAL Langenfeld 8751.4        ;Rheindorfer Str. 48-56        ;40764;Langenfeld

21504;87576;REAL Magdeburg 8757.6         ;Kantstr. 5a                   ;39104;Magdeburg

21504;87613;REAL Monschau 8761.3          ;Industriestrasse 8            ;52156;Monschau

21504;87651;REAL Gägelow/Wismar           ;Marktstr.1                    ;23968;GÄGELOW/WISMAR

21504;87668;REAL Blankenburg 8766.8       ;Lerchenbreite 5e              ;38889;Blankenburg

21504;87675;REAL Erfurt 2 8767.5          ;Gothaer Str. 22               ;99094;Erfurt 2

21504;87682;REAL Falkensee 8768.2         ;Barkhausenstr.66              ;14612;Falkensee

21504;87699;REAL Berlin - Lichtenberg 8769;Frankfurter Allee 113-119     ;10365;Berlin-Lichtenberg

21504;87804;REAL Bannerwitz/Dresden       ;An der Zachsuke 4             ;1728;Bannerwitz/Dresden

21504;87811;REAL Gotha 8781.1             ;Schubertstr.20                ;99867;Gotha

21504;87828;REAL Niederau(Meißen)         ;Meißener Str.85               ;1689;Niederau(Meißen)

21504;87835;REAL Süßenborn/Weimar         ;Landhausallee 7               ;99441;SÜßENBORN/WEIMAR

21504;87842;REAL Bitterfeld 8784.2        ;Anhaltstr.74                  ;6749;Bitterfeld

21504;87859;REAL Freital 8785.9           ;Burgker Str.39                ;1705;Freital

21504;87866;REAL Brandenburg-Havel 8786.6 ;Alte Potsdamer Str. 33        ;14776;Brandenburg-Havel

21504;87873;REAL Rostock 8787.3           ;Goorstorfer Str.50            ;18146;Rostock

21504;87880;REAL Stralsund 8788.0         ;Gustower Weg 3                ;18439;Stralsund

21504;87910;REAL Kolkwitz/Cottbus 8791.0  ;Berliner Str.114              ;3099;Kolkwitz/Cottbus

21504;87927;REAL Frankfurt/Oder 8792.7    ;Messering 10                  ;15234;Frankfurt/Oder

21504;87934;REAL Riesa 8793.4             ;Riesapark 4                   ;1587;Riesa

21504;87941;REAL Parchim 8794.1           ;Ziegendorfer Chaussee         ;19370;Parchim

21504;89006;REAL Alzey 8900.6             ;Industriestrasse 23           ;55232;Alzey

21504;89013;REAL Eschborn 8901.3          ;Ginnheimer Str. 18            ;65760;Eschborn

21504;89020;REAL Hattersheim 8902.0       ;Heddingheimer Str. 22         ;65795;Hattersheim

21504;89037;REAL Rüsselsheim 8903.7       ;Ausserhalb 14a                ;65428;RÜSSELSHEIM

21504;89044;REAL Stockstadt 8904.4        ;Taunusstraße 20               ;63811;Stockstadt

21504;89068;REAL Kaiserslautern II        ;Merkurstraße 57               ;67663;Kaiserslautern II

21504;89075;REAL Bobenheim-Roxheim        ;Südring 2                     ;67240;Bobenheim-Roxheim

21504;89082;REAL Haßloch 8908.2           ;Hans-Böckler Str.42           ;67454;HAßLOCH

21504;89099;REAL Limburg 8909.9           ;Mundlpharmastrasse 1          ;65549;Limburg

21504;89105;REAL Maintal 8910.5           ;Industriestr.6                ;63477;Maintal

21504;89112;REAL Wiesbaden 8911.2         ;Ostring 2                     ;65205;Wiesbaden

21504;89129;REAL Hockenheim 8912.9        ;Speyerer Straße 2             ;68766;Hockenheim

21504;89143;REAL Lollar 8914.3            ;Rothweg 4                     ;35457;Lollar

21504;89150;REAL Mainz 8915.0             ;Essenheimer Str. 222          ;55128;Mainz

21504;89198;REAL Mülheim-Kärlich          ;Industriestr. 4               ;56218;MÜLHEIM-KÄRLICH

21504;89549;REAL Göttingen 8954.9         ;Otto-Brenner-Str. 1           ;37079;GÖTTINGEN

21504;89556;REAL Walbeck-Hettstedt 89556  ;Kämmeritzer Weg 2             ;6333;WALBECK-HETTESTEDT

21504;89563;REAL Guben 8956.3             ;Karl- Marx- Strasse 112       ;3172;GUBEN

21504;89570;Real Pritzwalk 89570          ;Rostocker Strasse 2           ;16928;PRITZWALK

21504;89594;REAL Oldenburg 8959.4         ;Alter Postweg 125             ;26133;OLDENBURG

21504;89600;REAL Wolfsburg 8960.0         ;Porschestrasse 102            ;38440;WOLFSBURG

21504;89617;REAL Prenzlau 8961.7          ;Georg-Dreke-Ring 60           ;17291;PRENZLAU

21504;89624;Real Salzwedel 8962.4         ;Buchenallee 1                 ;29410;SALZWEDEL

21504;89631;Real Werdau 8963.1            ;Uferstrasse 1                 ;8412;WERDAU

21504;89648;Real Stendal 8964.8           ;Dr.- Kurt- Schumacher- Str.1  ;39576;STENDAL

21504;89655;Real Naumburg 8965.5          ;Overwegstrasse 11             ;6618;NAUMBURG

21504;89679;REAL Kassel 8967.9            ;Franzgraben 40-42             ;34125;KASSEL

21504;89680;Real,- SB-Warenhaus GmbH      ;                              ;            ;

21504;89681;Real,- SB-Warenhaus GmbH      ;                              ;            ;

21505;80137;REAL Gomaringen 8013.7        ;Ohmenhäuser Straße 15         ;72810;Gomaringen

21505;80138;                              ;                              ;            ;

21576;1;FAMILA Verbrauchermarkt       ;Posthalterweg 10              ;26129;OLDENBURG

21576;2;FAMILA Verbrauchermarkt       ;Scheideweg 100                ;26127;OLDENBURG

21576;3;FAMILA Verbrauchermarkt       ;Markt 5                       ;27777;GANDERKESEE

21576;4;FAMILA Verbrauchermarkt       ;Cappelner Str. 4              ;49661;CLOPPENBURG

21576;5;FAMILA Verbrauchermarkt       ;Weserstr. 80                  ;26919;BRAKE

21576;6;FAMILA Verbrauchermarkt       ;Falkenrotter Str.161          ;49377;VECHTA

21576;7;FAMILA Verbrauchermarkt       ;Oldenburger Str.              ;49610;QUAKENBRÜCK

21576;8;FAMILA Verbrauchermarkt       ;Westring 1                    ;27793;WILDESHAUSEN

21576;9;FAMILA Verbrauchermarkt       ;Im Hofe 2                     ;49401;DAMME

21576;10;FAMILA Verbrauchermarkt       ;Nüttermoorer Str. 2           ;26789;LEER

21576;11;FAMILA Verbrauchermarkt       ;Am Markt 25                   ;49565;BRAMSCHE

21576;12;FAMILA Verbrauchermarkt       ;Am Hafen 5 - 7                ;26169;FRIESOYTHE

21576;13;FAMILA Verbrauchermarkt       ;Im Gleisbogen 1               ;49393;LOHNE

21576;14;FAMILA Verbrauchermarkt       ;Bremer Str.7                  ;49624;LÖNINGEN

21576;15;FAMILA Verbrauchermarkt       ;Kattenturmer Heerstr. 136     ;28277;BREMEN

21576;16;FAMILA Verbrauchermarkt       ;Zur Siedewurth 17             ;27572;BREMERHAVEN

21576;17;                              ;                              ;            ;

21576;18;FAMILA Verbrauchermarkt       ;Bohmter Str. 64               ;49074;OSNABRÜCK

21576;19;FAMILA Verbrauchermarkt       ;Neue Str. 36 - 39             ;27432;BREMERVÖRDE

21576;20;FAMILA Verbrauchermarkt       ;Mühlenstr. 72                 ;26441;JEVER

21576;21;FAMILA Verbrauchermarkt       ;Meyer's Tanne 2               ;49565;BRAMSCHE

21576;23;FAMILA Verbrauchermarkt       ;Rheiner Str. 115 - 121        ;49809;LINGEN

21576;24;FAMILA Verbrauchermarkt       ;Steinbrückenweg 1             ;26316;VAREL

21576;25;FAMILA Verbrauchermarkt       ;Am Esch 7                     ;26655;WESTERSTEDE

21576;26;FAMILA Verbrauchermarkt       ;Bahnhofsplatz 1               ;26382;WILHELMSHAVEN

21576;27;FAMILA Verbrauchermarkt       ;Zum Hachepark 8               ;28857;SYKE

21576;28;FAMILA Verbrauchermarkt       ;Brunnenstraße 37              ;26789;LEER

21576;51;FAMILA Getränke- und Baumarkt ;Gruppenbühraner Str. 6-8      ;27777;GANDERKESEE

21576;52;Famila Getränke- und          ;Kramershagen 4                ;49610;QUAKENBRÜCK

13;1;RetailXXXXXXXXXXXXXXXXXX      ;                              ;            ;

21623;1;hela Markt                    ;An der Römerstr.              ;54411;HERMESKEIL

21623;2;hela Markt                    ;Saarbrücker Str. 73           ;66822;LEBACH

21623;3;hela Markt                    ;Franz-Birringer-Str.27        ;66839;SCHMELZ

21623;4;hela Markt                    ;Grubenweg 7                   ;66386;ST.INGBERT

21626;1;hela Markt                    ;Kölner Str. 11                ;54634;BITBURG

21626;2;hela Markt                    ;Daimlerstr. 4                 ;66763;DILLINGEN

21626;3;hela Markt                    ;Rieffstr. 8-12                ;66663;MERZIG

21637;1;01  COMBI VB MARKT            ;NEUSCHANZER STR. 19           ;26831;BUNDE

21637;2;02  COMBI VB MARKT            ;An den Bleicherkolken 1       ;26871;Aschendorf

21637;3;03  COMBI VB MARKT            ;RHAUDERWIEKE 5                ;26817;RHAUDERFEHN

21637;4;04  COMBI VB MARKT            ;WAHNER STR.21                 ;49751;SOEGEL

21637;5;05  COMBI VB MARKT            ;HAUPTSTR. 131                 ;26639;WIESMOOR

21637;6;06  COMBI VB MARKT            ;UMLAENDERWIEK LINKS 5         ;26871;PAPENBURG

21637;7;07  COMBI VB MARKT            ;Handelsstr. 4                 ;26736;PEWSUM-KRUMMHÖRN

21637;8;08  COMBI VB MARKT            ;ESENSER STR. 58               ;26409;WITTMUND

21637;9;09  COMBI VB MARKT            ;Große Straße 24               ;49762;LATHEN

21637;10;10  COMBI VB MARKT            ;Bohmter Straße 64             ;49074;OSNABRÜCK

21637;11;11  COMBI VB MARKT            ;OSTERTORSTR 62                ;26670;UPLENGEN-REMELS

21637;12;12  COMBI VB MARKT            ;AURICHER STR. 45              ;26427;ESENS

21637;14;14  COMBI VB MARKT            ;Bahnhofsplatz 1               ;26382;WILHELMSHAVEN

21637;15;15  COMBI VB MARKT            ;KOPPELWEG 2                   ;26624;SUEDBROOKMERLAND

21637;16;16  COMBI VB MARKT            ;GEWERBESTR. 13                ;26506;NORDEN

21637;17;17  COMBI VB MARKT            ;POPENSER STR. 2               ;26603;AURICH

21637;18;18  COMBI VB MARKT            ;BAHNHOFSTR. 1                 ;26826;WEENER

21637;19;19  COMBI VB MARKT            ;AM MARKT 13                   ;26345;BOCKHORN

21637;20;20  COMBI VB MARKT            ;Kirchstr. 29                  ;26871;PAPENBURG

21637;21;gesperrt siehe Lieferad. 7    ;RAIFFEISENSTR. 5              ;26736;PEWSUM

21637;22;22  COMBI VB MARKT            ;MOLKEREISTR/HAUPTSTR.         ;26683;RAMSLOH

21637;23;23  COMBI VB MARKT            ;GOEKERSTR. 109                ;26384;WILHELMSHAVEN

21637;24;24  COMBI VB MARKT            ;Bahnhofstraße 8               ;26419;SCHORTENS

21637;25;25  COMBI VB MARKT            ;GEWERBESTR. 2                 ;26759;HINTE

21637;26;26  COMBI VB MARKT            ;Ihrener Str. 11               ;26810;WESTOVERLEDINGEN

21637;27;27  COMBI VB MARKT            ;ZWEITER KOMPANIEWEG 1         ;26632;IHLOW

21637;28;28  COMBI VB MARKT            ;AMMERLAENDER HEERSTR.         ;26129;OLDENBURG

21637;29;29  COMBI VB MARKT            ;BREMER HEERSTR. 172           ;26135;OLDENBURG

21637;30;30  COMBI VB MARKT            ;Wehlacker 6                   ;28876;OYTEN

21637;31;31  COMBI VB MARKT            ;Volkmannstr. 4                ;28201;Bremen

21637;32;32  COMBI VB MARKT            ;KIRCHENSTR. 118               ;26919;BRAKE

21637;33;33  COMBI VB MARKT            ;SOESTENSTRASSE                ;49661;CLOPPENBURG

21637;34;34  COMBI VB MARKT            ;WILDESHAUSER STR. 14          ;26197;Ahlhorn

21637;35;35  COMBI VB MARKT            ;Weher Straße 13               ;32369;RAHDEN

21637;36;36  COMBI VB MARKT            ;DIEPHOLZER STRASSE 1          ;49377;VECHTA

21637;37;37  COMBI VB MARKT            ;OLDENBURGER STRASSE 28        ;49377;VECHTA

21637;38;38  COMBI VB MARKT            ;Poggenkuhle 1                 ;49406;Barnstorf

21637;39;39  COMBI VB MARKT            ;BREMER STR. 16                ;27239;TWISTRINGEN

21637;40;40  COMBI VB MARKT            ;Goethestrasse 9               ;27374;VISSELHÖVEDE

21637;41;41  COMBI VB MARKT            ;MINDENER STR. 7               ;49419;WAGENFELD

21637;42;42  COMBI VB MARKT            ;MOENKEDIECKSTR. 8-10          ;49088;OSNABRUECK

21637;43;43  COMBI VB MARKT            ;BUERSCHE STR. 4A              ;49324;MELLE

21637;44;44  COMBI VB MARKT            ;SVEN-HEDIN-STR. 82            ;26389;WILHELMSHAVEN

21637;45;45  COMBI VB MARKT            ;IM BRINK 2                    ;26835;HESEL

21637;46;46  COMBI VB MARKT            ;WIDZEL-TOM-BROOK-STR. 7-9     ;26529;UPGANT-SCHOTT

21637;47;47  COMBI VB MARKT            ;RUDOLF-EUCKEN-STRASSE 3       ;26802;WARSINGSFEHN

21637;48;48  COMBI VB MARKT            ;IM GEWERBEGEBIET 22           ;26842;OSTRHAUDERFEHN

21637;49;49  COMBI VB MARKT            ;Urbierstr.4b/Normannenstr.    ;26723;EMDEN

21637;50;50  COMBI VB MARKT            ;HEINRICH-BOELL-STR.1          ;48455;BAD BENTHEIM

21637;51;51  COMBI VB MARKT            ;AM GILLENBRINK 2              ;48499;SALZBERGEN

21637;52;52  COMBI VB MARKT            ;GRUENER WEG 5/GEWERBEGEB.     ;49196;BAD LAER

21637;53;53  COMBI VB MARKT            ;HUNDSMUEHLER STR. 133         ;26131;OLDENBURG

21637;54;54  COMBI VB MARKT            ;Rheinstr. 4                   ;26203;Wardenburg

21637;55;55  COMBI VB MARKT            ;In der Maate 2                ;48488;EMSBÜREN

21637;56;56  COMBI VB MARKT            ;BORSIGSTR. 2                  ;49134;WALLENHORST

21637;57;57  COMBI VB MARKT            ;ROBERT-BOSCH-STR.             ;49593;BERSENBRUECK

21637;58;58  COMBI VB MARKT            ;MEYERS TANNEN 2               ;49565;BRAMSCHE

21637;59;59  COMBI VB MARKT            ;Itterbecker Strasse 43        ;49843;UELSEN

21637;60;60  Combi VB Markt            ;Hauptstraße 64                ;49448;LEMFÖRDE

21637;61;61  Combi VB Markt            ;Am Markt 25                   ;49565;BRAMSCHE

21637;62;62  COMBI VB MARKT            ;NATRUPER STRASSE 120          ;49170;HAGEN

21637;63;63  COMBI VB MARKT            ;AM EDENHOF 1A                 ;26524;HAGE

21637;64;64  COMBI VB MARKT            ;Kanalstraße S}d 58-60         ;26629;GROßEFEHN

21637;65;65  COMBI VB MARKT            ;Hauptstr. 121                 ;26446;Friedeburg

21637;66;66  Combi VB Markt            ;Friederich Ebert Str.80       ;48529;NORDHORN

21637;67;67 Combi VB Markt             ;Mühlenstraße 20               ;48607;OCHTRUP

21637;69;69  COMBI VB MARKT            ;Hauptstr. 36                  ;26188;EDEWECHT

21637;70;70  COMBI VB MARKT            ;Flöthestr. 43                 ;49356;DIEPHOLZ

21637;73;73  COMBI VB MARKT            ;Halterner Str. 12             ;48249;DÜLMEN

21637;74;74  COMBI VB MARKT            ;Kardinal-Galen-Ring 4         ;48431;RHEINE

21637;99;10  COMBI VB MARKT            ;Alexanderstraße 144           ;26127;OLDENBURG

21638;1;Frey & Kissel-Wilh.Schacherer ;Herrenbergstr. 13             ;76829;LANDAU

21639;1;SBK-Selbstbedienungskauf      ;Weißenburger Straße 16        ;66994;DAHN

21639;3;SBK-Selbstbedienungskauf      ;Luitpoldstraße 79             ;67480;EDENKOBEN

21639;4;SBK-Selbstbedienungskauf GmbH ;Nansenstraße 2                ;76870;KANDEL

21639;5;SBK-Selbstbedienungskauf GmbH ;Wiesenstraße 41               ;67466;LAMBRECHT

21639;6;SBK-Selbstbedienungskauf GmbH ;Gaustraße 12-16               ;68623;LAMPERTHEIM

21639;7;SBK-Selbstbedienungskauf GmbH ;Im Woog 2                     ;76744;MAXIMILIANSAU

21639;8;SBK-Selbstbedienungskauf GmbH ;Rathausring 6                 ;66877;RAMSTEIN-MIESENBACH

21639;9;SBK-Selbstbedienungskauf GmbH ;Hans-Holbein-Straße 2         ;69190;WALLDORF

21640;1;SBK-Selbstbedienungskauf      ;Luitpoldstr. 79               ;67480;EDENKOBEN

21641;1;SBK-Selbstbedienungskauf GmbH ;Nansenstr. 2                  ;76870;KANDEL

21642;1;SBK-Großflächen Kissel GmbH & ;Klingweg 1 (Kapellenstr.)     ;76887;BAD BERGZABERN

21642;2;                              ;                              ;            ;

21642;4;SBK-Großflächen Kissel GmbH & ;Posthiusstraße 5-7            ;76726;GERMERSHEIM

21642;5;SBK-Großflächen Kissel GmbH & ;Johannes-Kopp-Straße 12       ;76829;LANDAU

21642;6;SBK-Großflächen Kissel GmbH & ;Sankt-Ambrogio-Ring 6         ;55276;OPPENHEIM

21643;1;                              ;                              ;            ;

21644;1;                              ;                              ;            ;

21645;1;                              ;                              ;            ;

21646;1;                              ;                              ;            ;

21647;1;                              ;                              ;            ;

21648;1;                              ;                              ;            ;

21649;1;                              ;                              ;            ;

21650;1;                              ;                              ;            ;

21666;1;Handelshof Lüneburg GmbH&Co.KG;                              ;21339;LÜNEBURG

21667;1;Handelshof Stade GmbH & Co.KG ;Carl-Benz-Str. 3              ;21684;STADE

21667;2;                              ;                              ;            ;

21748;1018;Comet Simmerath 1018          ;Witzerather Str. 10           ;52152;SIMMERATH

21748;1672;Comet Markt 1672              ;Hermannstraße 4               ;45699;HERTEN

21748;1685;Comet Markt 1685              ;Steeler Str. 178              ;45138;ESSEN

21748;1688;Comet Markt Pattensen 1688    ;Auf der Burg 6                ;30982;PATTENSEN

21748;1689;Comet Markt 1689              ;Fünfhausenstraße 2            ;31832;SPRINGE

21748;1690;Comet Markt 1690              ;Lange Str. 75                 ;31675;BRÜCKEBURG

21748;1693;ANGL Handels GmbH & Co. OHG   ;Herzogstr. 2                  ;87629;FÜSSEN

21748;1694;ANGL Handels GmbH & Co. OHG   ;König-Ludwig-Str. 2           ;87645;SCHWANGAU

21748;1695;ANGL GmbH & Co.KG             ;Mahnusstr. 6                  ;87437;KEMPTEN / ST. MANG

21748;1696;ANGL GmbH & Co.KG             ;Maximilianstr. 5              ;87437;KEMPTEN / ST. MANG

21748;1697;Comet Markt 1697              ;Fischerstr. 95                ;47055;DUISBURG

21748;1698;Jansen                        ;Krischerstr. 22               ;40789;MONHEIM

21748;1699;Großmarkt Siegsdorf GmbH I.G. ;Hochbergstraße 24             ;83313;SIEGSDORF

21748;1901;Comet Markt 1901              ;Im Weidenbusch 136            ;51061;KÖLN

21748;1902;Comet Markt 1902              ;Langestr. 75                  ;31675;BÜCKEBURG

21748;1903;Comet Markt 1903              ;Zur Loev 29                   ;42489;WÜLFRATH

21748;19047;Comet Markt 19047             ;Haselnussweg 33-35            ;50767;KÖLN

21748;19092;Comet Markt 19092             ;Königstr. 207                 ;42853;REMSCHEID

21748;19115;Comet Markt 19115             ;Zur Loev 29                   ;42489;WÜLFRATH

21749;1;Extra Verbrauchermärkte       ;Am Teintkamp 7                ;31157;SARSTEDT

21749;2;extra Verbrauchermärkte       ;Am Teinkamp 7                 ;31157;SARSTEDT

21749;6043;Extra Düsseldorf 6043         ;Ulmenstr. 299                 ;40468;DÜSSELDORF

21749;6147;Extra WUPPERTAL 6147          ;UELLDEND.STR.402-408          ;42109;WUPPERTAL

21749;6150;Extra Solingen 6150           ;Stockkamp 8                   ;42651;SOLINGEN

21749;6168;Extra KREFELD 6168            ;UERDINGER STR.                ;47799;KREFELD

21749;6169;Extra Köln (Wahn-Heide) 6169  ;Heidestr. 161                 ;51147;KÖLN

21749;6199;Extra TOENISVORST 6199        ;KEMPENER STR.                 ;47918;TOENISVORST

21749;8102;Extra KOELN 8102              ;HORBELLER STR. 2-4            ;50858;KOELN

21749;8103;Extra GUMMERSBACH 8103        ;KOELNER STRASSE 288           ;51645;GUMMERSBACH

21749;8104;Extra PULHEIM 8104            ;FAREHAMSTR/VENLOER            ;50259;PULHEIM

21749;8106;Extra HEINSBERG 8106          ;INDUSTRIESTRASSE 14           ;52525;HEINSBERG

21749;8107;Extra HUECKELHOVEN 8107       ;BERRISHEIMRING 1              ;41836;HUECKELHOVEN

21749;8108;Extra SCHLEIDEN 8108          ;AN DER OLEF 64                ;53937;SCHLEIDEN

21749;8109;Extra BRUEHL 8109             ;BERZDORFER STRASSE 5          ;50321;BRUEHL

21749;8110;Extra Jülich 8110             ;Am Leinkaul 1                 ;52428;JÜLICH

21749;8111;Extra TRIER 8111              ;GOTTBILLSTR. 11               ;54294;TRIER

21749;8113;Extra VIERSEN 8113            ;KANALSTR. 51-55               ;41748;VIERSEN

21749;8114;Extra KREFELD 8114            ;MAGDEBURGER STR.              ;47800;KREFELD

21749;8115;Extra SONSBECK 8115           ;HOCHSTR. 132                  ;47665;SONSBECK

21749;8116;Extra WILLICH 8116            ;BRAUEREISTR. 23               ;47877;WILLICH

21749;8117;Extra DORSTEN 8117            ;HAENDEL STR                   ;46282;DORSTEN

21749;8122;Extra NETTETAL 8122           ;NIEDIECK STR. 167             ;41334;NETTETAL

21749;8123;Extra BOCHUM 8123             ;UEMMINGER STRASSE 90          ;44892;BOCHUM

21749;8124;Extra BOCHUM 8124             ;KOHLLEPPELSWEG                ;44791;BOCHUM

21749;8125;Extra BOCHUM 8125             ;WATTEN. HELLWEG 163           ;44867;BOCHUM

21749;8137;Extra KREUZTAL 8137           ;MABURGER STR. 11              ;57223;KREUZTAL

21749;8138;Extra OLPE 8138               ;MARTINSTR. 36                 ;57462;OLPE

21749;8141;Extra PLETTENBERG 8141        ;MAIPLATZ                      ;58840;PLETTENBERG

21749;8142;Extra MENDEN 8142             ;BOESPERDER WEG 43             ;58710;MENDEN

21749;8144;Extra HAMM 8144               ;AHLENER STR. 132              ;59073;HAMM

21749;8145;Extra HEMER 8145              ;HADEMAREPLATZ 3               ;58675;HEMER

21749;8146;Extra HAGEN 8146              ;VOLLBRINKSTR. 9               ;58135;HAGEN

21749;8147;Extra WERDOHL 8147            ;INSELSTRASSE                  ;58791;WERDOHL

21749;8148;Extra DORTMUND 8148           ;HEIMBRUEGGE 5-7               ;44359;DORTMUND

21749;8149;Extra DORTMUND 8149           ;DEUTSCHE STRASSE 4            ;44339;DORTMUND

21749;8151;Extra Düren 8151              ;Dechant Bohnekamp-Str.116     ;52349;DÜREN

21749;8152;Extra RHEINBERG 8152          ;MOERSER STR. 28-36            ;47495;RHEINBERG

21749;8153;Extra BURSCHEID 8153          ;DUENWEG 42-44                 ;51399;BURSCHEID

21749;8154;Extra BAD MUENSTEREIFEL 8154  ;JOSEF-JONAS-STR. 5            ;53902;BAD MUENSTEREIFEL

21749;8156;Extra HILLESHEIM 8156         ;KOELNER STRASSE               ;54576;HILLESHEIM

21749;8157;Extra Eschweiler 8157         ;Stolberger Str. 125           ;52249;ESCHWEILER

21749;8158;Extra Radevormwald 8158       ;Nelkenstrasse                 ;42477;RADEVORMWALD

21749;8159;Extra ZUELPICH 8159           ;ROEMERALLEE                   ;53909;ZUELPICH

21749;8160;Extra WITTLICH  8160          ;Justus-v-Liebig-Str-          ;54516;WITTLICH

21749;8163;Extra EITORF 8163             ;IM AUEL                       ;53783;EITORF

21749;8164;Extra BONN 8164               ;IMMENBURGSTRASSE 42           ;53121;BONN

21749;8165;Extra KERPEN 8165             ;HAUPTSTRASSE 331-335          ;50169;KERPEN

